,mu,sigma,"trials,",cluster,decision,alpha,tau,clustering,mis,amis,nmis,ars,complet,homogen,vmeas
0,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.8]",spectral warp,0.46281,0.40209,0.43126,0.38766,0.44149,0.42127,0.43114
1,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.8]",aff prop,0.71428,0.36594,0.51562,0.44719,0.40891,0.65017,0.50206
2,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.8]",pca,0.23215,0.19834,0.30636,0.16643,0.44417,0.21131,0.28638
3,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.8]",kmeans,0.57978,0.51219,0.52956,0.48846,0.53138,0.52774,0.52955
4,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.8]",spectral overlap,0.26109,0.20955,0.27192,0.21817,0.31112,0.23766,0.26947
5,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 1, 2]",spectral warp,0.80087,0.72004,0.73659,0.70876,0.74428,0.72899,0.73655
6,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 1, 2]",aff prop,0.91875,0.49681,0.66681,0.56079,0.53168,0.83628,0.65007
7,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 1, 2]",pca,0.05761,0.03331,0.12337,0.00714,0.29022,0.05244,0.08883
8,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 1, 2]",kmeans,0.66047,0.588,0.6097,0.58763,0.61833,0.60118,0.60964
9,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 1, 2]",spectral overlap,0.26023,0.20888,0.28131,0.24163,0.33409,0.23687,0.27721
