Alpha	Method	Similarity	Data	Choices	BBC 	Entropy 	Entropy Block	Concat	Normal. MI	RI	V-Measure	Comment
{0.1,0.3}	Spectral	Cosine	Entropy-Block				x		0.131 (0.114)	0.100 (0.133)	0.131 (0.113)	
	K-Means	Euclidian	Choice	x					0.130 (0.199)	0.075 (0.212)	0.127 (0.199)	
	Spectral	Cosine	Bad-Choices		x				0.119 (0.104)	0.068 (0.094)	0.118 (0.103)	
	K-Means	Euclidian	Concat					x	0.113 (0.156)	0.089 (0.181)	0.113 (0.156)	
	Spectral	RBF	Entropy 			x			0.101 (0.140)	0.073 (0.162)	0.101 (0.140)	
{0.1,0.5}	Spectral	Cosine	Entropy 			x			0.199 (0.131)	0.141 (0.129)	0.198 (0.131)	
	Spectral	Cosine	Bad-Choices		x				0.191 (0.157)	0.128 (0.148)	0.190 (0.157)	
	Spectral	Euclidian	Entropy-Block				x		0.168 (0.183)	0.134 (0.186)	0.168 (0.182)	
	K-Means	Euclidian	Concat					x	0.122 (0.121)	0.085 (0.122)	0.121 (0.121)	
	Spectral	Cosine	Choice	x					0.063 (0.081)	0.033 (0.109)	0.063 (0.081)	
{0.1,0.7}	Spectral	Cosine	Bad-Choices		x				0.277 (0.229)	0.222 (0.240)	0.276 (0.229)	
	Spectral	Cosine	Entropy-Block				x		0.278 (0.272)	0.183 (0.254)	0.271 (0.183)	
	K-Means	Euclidian	Entropy 			x			0.227 (0.178)	0.186 (0.176)	0.227 (0.177)	
	Spectral	Cosine	Choice	x					0.190 (0.114)	0.152 (0.116)	0.189 (0.114)	
	K-Means	Euclidian	Concat					x	0.178 (0.150)	0.147 (0.147)	0.177 (0.149)	
{0.1,0.9}	Spectral	DTW	Entropy-Block				x		0.300 (0.232)	0.273 (0.254)	0.299 (0.232)	
	Spectral	Cosine	Bad-Choices		x				0.211 (0.158)	0.159 (0.160)	0.210 (0.158)	
	Spectral	Cosine	Entropy 			x			0.191 (0.117)	0.137 (0.127)	0.189 (0.118)	
	Spectral	Cosine	Choice	x					0.164 (0.110)	0.115 (0.109)	0.162 (0.109)	
	K-Means	Euclidian	Concat					x	0.138 (0.153	0.091 (0.176)	0.137 (0.153)	
{0.5,0.9}	Spectral	Euclidian	Bad-Choices		x				0.069 (0.121)	0.022 (0.110)	0.069 (0.102)	
